id,lat,long,date,weekday,time,priority
408,32.546,-116.9756,01/06/2014,Lunes,05:52:00 pm,4
410,32.5356,-117.0374,01/07/2014,Martes,02:01:00 am,4
411,32.525,-116.9941,01/07/2014,Martes,03:46:00 am,4
412,32.5149,-117.0382,01/06/2014,Lunes,07:50:00 am,3
413,32.4703,-116.9688,01/06/2014,Lunes,08:18:00 am,NaN
414,32.538,-116.9436,01/06/2014,Lunes,11:12:00 am,4
415,32.5034,-116.9768,01/06/2014,Lunes,03:07:00 pm,3
416,32.4711,-117.0277,01/06/2014,Lunes,04:13:00 pm,4
417,32.5139,-116.9133,01/06/2014,Lunes,05:39:00 pm,4
418,32.5149,-117.0382,01/06/2014,Lunes,06:38:00 pm,2
419,32.4814,-116.9823,01/06/2014,Lunes,07:49:00 pm,4
420,32.5149,-117.0382,01/06/2014,Lunes,08:42:00 pm,3
421,32.5008,-116.9788,01/06/2014,Lunes,09:20:00 pm,4
422,32.5149,-117.0382,01/07/2014,Martes,11:55:00 am,4
423,32.4968,-116.9168,01/06/2014,Lunes,07:58:00 am,4
425,32.5256,-116.9429,01/06/2014,Lunes,11:35:00 am,4
426,32.5149,-117.0382,01/06/2014,Lunes,03:13:00 pm,3
427,32.5334,-117.0277,01/06/2014,Lunes,04:22:00 pm,3
428,32.5119,-116.9622,01/06/2014,Lunes,05:47:00 pm,3
429,32.5017,-116.9712,01/06/2014,Lunes,07:33:00 pm,3
430,32.4922,-116.9229,01/06/2014,Lunes,08:22:00 pm,4
431,32.4621,-116.9745,01/07/2014,Martes,11:53:00 pm,3
432,32.4707,-116.9537,01/06/2014,Lunes,08:18:00 am,3
433,32.5149,-117.0382,01/06/2014,Lunes,11:03:00 am,3
434,32.4736,-116.9549,01/06/2014,Lunes,12:28:00 pm,4
436,32.5149,-117.0382,01/06/2014,Lunes,05:20:00 pm,4
437,32.5239,-116.9395,01/06/2014,Lunes,06:50:00 pm,4
438,32.5149,-117.0382,01/06/2014,Lunes,07:40:00 pm,4
439,32.5361,-116.9733,01/06/2014,Lunes,10:27:00 pm,4
442,32.5252,-117.0293,01/06/2014,Lunes,10:40:00 am,NaN
443,32.5149,-117.0382,01/06/2014,Lunes,12:39:00 pm,3
444,32.4935,-116.9236,01/06/2014,Lunes,02:57:00 pm,4
445,32.5014,-116.8719,01/06/2014,Lunes,07:17:00 pm,4
446,32.5073,-116.9639,01/06/2014,Lunes,07:53:00 pm,3
447,32.5073,-116.9639,01/06/2014,Lunes,07:55:00 pm,3
448,32.4805,-116.8809,01/06/2014,Lunes,11:14:00 pm,NaN
449,32.4987,-116.9687,01/06/2014,Lunes,06:12:00 am,NaN
450,32.5149,-117.0382,01/06/2014,Lunes,07:12:00 am,3
451,32.5112,-116.9579,01/06/2014,Lunes,09:51:00 am,4
452,32.538,-117.0262,01/07/2014,Martes,04:05:00 am,4
453,32.5302,-116.9981,01/07/2014,Martes,05:16:00 am,3
